protagoniste1	protagoniste2	description_interaction	description_medoc	mecanisme	CI	AD	PE	PC
ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II	POTASSIUM	Association DECONSEILLEE Eviter cette association sauf s'il existe une hypokaliemie prealable. 	(azilsartan, candesartan cilexetil, eprosartan, irbesartan, losartan, olmesartan, telmisartan, valsartan)	Hyperkaliemie (potentiellement letale) surtout lors d'une insuffisance renale (addition des effets hyperkaliemiants).		 Eviter cette association sauf s'il existe une hypokaliemie prealable. 		
ANTIAGREGANTS PLAQUETTAIRES	ANTICOAGULANTS ORAUX	A prendre en compte Augmentation du risque hemorragique.	Plusieurs substances sont impliquees dans des interactions, du fait de leurs proprietes antiagregantes plaquettaires. L'utilisation de plusieurs antiagregants plaquettaires majore le risque de saignement, de meme que leur association a l'heparine et aux molecules apparentees, aux anticoagulants oraux et aux thrombolytiques, et doit etre prise en compte en maintenant une surveillance clinique reguliere.Pour l'acide acetylsalicylique, se reporter aux interactions qui lui sont propres.(abciximab (c 7e3b fab), acide acetylsalicylique, cilostazol, clopidogrel, epoprostenol, eptifibatide, iloprost, iloprost trometamol, prasugrel, ticagrelor, ticlopidine, tirofiban, treprostinil)	Augmentation du risque hemorragique.				
ANTIAGREGANTS PLAQUETTAIRES	DEFIBROTIDE	Association DECONSEILLEE Risque hemorragique accru.	Plusieurs substances sont impliquees dans des interactions, du fait de leurs proprietes antiagregantes plaquettaires. L'utilisation de plusieurs antiagregants plaquettaires majore le risque de saignement, de meme que leur association a l'heparine et aux molecules apparentees, aux anticoagulants oraux et aux thrombolytiques, et doit etre prise en compte en maintenant une surveillance clinique reguliere.Pour l'acide acetylsalicylique, se reporter aux interactions qui lui sont propres.(abciximab (c 7e3b fab), acide acetylsalicylique, cilostazol, clopidogrel, epoprostenol, eptifibatide, iloprost, iloprost trometamol, prasugrel, ticagrelor, ticlopidine, tirofiban, treprostinil)	Risque hemorragique accru.				
ANTIAGREGANTS PLAQUETTAIRES	HEPARINES	A prendre en compte Augmentation du risque hemorragique.	Plusieurs substances sont impliquees dans des interactions, du fait de leurs proprietes antiagregantes plaquettaires. L'utilisation de plusieurs antiagregants plaquettaires majore le risque de saignement, de meme que leur association a l'heparine et aux molecules apparentees, aux anticoagulants oraux et aux thrombolytiques, et doit etre prise en compte en maintenant une surveillance clinique reguliere.Pour l'acide acetylsalicylique, se reporter aux interactions qui lui sont propres.(abciximab (c 7e3b fab), acide acetylsalicylique, cilostazol, clopidogrel, epoprostenol, eptifibatide, iloprost, iloprost trometamol, prasugrel, ticagrelor, ticlopidine, tirofiban, treprostinil)	Augmentation du risque hemorragique.				
ANTIAGREGANTS PLAQUETTAIRES	THROMBOLYTIQUES	A prendre en compte Augmentation du risque hemorragique.	Plusieurs substances sont impliquees dans des interactions, du fait de leurs proprietes antiagregantes plaquettaires. L'utilisation de plusieurs antiagregants plaquettaires majore le risque de saignement, de meme que leur association a l'heparine et aux molecules apparentees, aux anticoagulants oraux et aux thrombolytiques, et doit etre prise en compte en maintenant une surveillance clinique reguliere.Pour l'acide acetylsalicylique, se reporter aux interactions qui lui sont propres.(abciximab (c 7e3b fab), acide acetylsalicylique, cilostazol, clopidogrel, epoprostenol, eptifibatide, iloprost, iloprost trometamol, prasugrel, ticagrelor, ticlopidine, tirofiban, treprostinil)	Augmentation du risque hemorragique.				
ANTIARYTHMIQUES	ANTIARYTHMIQUES	CI - ASDEC - APECL'association de deux antiarythmiques est tres delicate. Elle est dans la majorite des cas, contre-indiquee ou deconseillee.	De nombreux antiarythmiques sont depresseurs de l'automatisme, de la conduction et de la contractilite cardiaques.L'association d'antiarythmiques de classes differentes peut apporter un effet therapeutique benefique, mais s'avere le plus souvent tres delicate, necessitant une surveillance clinique etroite et un controle de l'ECG. L'association d'antiarythmiques donnant des torsades de pointes (amiodarone, disopyramide, quinidiniques, sotalol...) est contre-indiquee.L'association d'antiarythmiques de meme classe est deconseillee, sauf cas exceptionnel, en raison du risque accru d'effets indesirables cardiaques.L'association a des medicaments ayant des proprietes inotropes negatives, bradycardisantes et/ou ralentissant la conduction auriculo-ventriculaire est delicate et necessite une surveillance clinique et un controle de l'ECG.(amiodarone, cibenzoline, diltiazem, disopyramide, dronedarone, flecainide, hydroquinidine, lidocaine, mexiletine, propafenone, quinidine, sotalol, verapamil)		CI - ASDEC - APECL'association de deux antiarythmiques est tres delicate. Elle est dans la majorite des cas, contre-indiquee ou deconseillee.	CI - ASDEC - APECL'association de deux antiarythmiques est tres delicate. Elle est dans la majorite des cas, contre-indiquee ou deconseillee.		CI - ASDEC - APECL'association de deux antiarythmiques est tres delicate. Elle est dans la majorite des cas, contre-indiquee ou deconseillee.
ANTIARYTHMIQUES CLASSE IA	ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES	Precaution d'emploi Surveillance clinique, ECG et controle des concentrations plasmatiques ; si besoin, adaptation de la posologie de l'antiarythmique pendant le traitement par l'inducteur et apres son arret. 	(disopyramide, hydroquinidine, quinidine)	Diminution des concentrations plasmatiques et de l'efficacite de l'antiarythmique, par augmentation de son metabolisme hepatique par l'inducteur.			 Surveillance clinique, ECG et controle des concentrations plasmatiques ; si besoin, adaptation de la posologie de l'antiarythmique pendant le traitement par l'inducteur et apres son arret. 	
ANTIARYTHMIQUES CLASSE IA	ESMOLOL	Precaution d'emploi Surveillance clinique et ECG. 	(disopyramide, hydroquinidine, quinidine)	Troubles de la contractilite, de l'automatisme et de la conduction (suppression des mecanismes sympathiques compensateurs).			 Surveillance clinique et ECG. 	
ANTIARYTHMIQUES CLASSE IA	RIFAMPICINE	Precaution d'emploi Surveillance clinique, ECG et eventuellement de la concentration plasmatique de l'antiarythmique. Si besoin, adaptation de la posologie de l'antiarythmique pendant le traitement par la rifampicine et apres son arret (risque de surdosage en antiarythmique). 	(disopyramide, hydroquinidine, quinidine)	Diminution des concentrations plasmatiques et de l'efficacite de l'antiarythmique (augmentation de son metabolisme hepatique).			 Surveillance clinique, ECG et eventuellement de la concentration plasmatique de l'antiarythmique. Si besoin, adaptation de la posologie de l'antiarythmique pendant le traitement par la rifampicine et apres son arret (risque de surdosage en antiarythmique). 	
ANTIARYTHMIQUES CLASSE I (SAUF LIDOCAINE)	BETA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE	CONTRE-INDICATION Effet inotrope negatif avec risque de decompensation cardiaque.	(cibenzoline, disopyramide, flecainide, hydroquinidine, mexiletine, propafenone, quinidine)	Effet inotrope negatif avec risque de decompensation cardiaque.				
ANTIARYTHMIQUES CLASSE I (SAUF LIDOCAINE)	BETA-BLOQUANTS (SAUF ESMOLOL ET SOTALOL)	Precaution d'emploi Surveillance clinique et ECG. 	(cibenzoline, disopyramide, flecainide, hydroquinidine, mexiletine, propafenone, quinidine)	Troubles de la contractilite, de l'automatisme et de la conduction (suppression des mecanismes sympathiques compensateurs). Thesaurus des interactions medicamenteuses			 Surveillance clinique et ECG. 	
ANTICHOLINESTERASIQUES	ANTICHOLINESTERASIQUES	A prendre en compte Il convient de prendre en compte l'association d'un medicament anticholinesterasique, donne dans une indication telle que la myasthenie ou l'atonie intestinale, a un autre anticholinesterasique donne dans la maladie d'Alzheimer, en raison d'un risque d'addition des effets indesirables de type cholinergique, notamment digestifs. 	Voir aussi : bradycardisants	(ambenonium, donepezil, galantamine, neostigmine, pyridostigmine, rivastigmine)				Il convient de prendre en compte l'association d'un medicament anticholinesterasique, donne dans une indication telle que la myasthenie ou l'atonie intestinale, a un autre anticholinesterasique donne dans la maladie d'Alzheimer, en raison d'un risque d'addition des effets indesirables de type cholinergique, notamment digestifs. 
ANTICHOLINESTERASIQUES	BETA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE	Precaution d'emploi Surveillance clinique reguliere, notamment en debut d'association. 	Voir aussi : bradycardisants	Risque de bradycardie excessive (addition des effets bradycardisants).			 Surveillance clinique reguliere, notamment en debut d'association. 	
ANTICHOLINESTERASIQUES	MEDICAMENTS ATROPINIQUES	A prendre en compte Il convient de prendre en compte le risque lie a l'association d'un medicament a action atropinique (imipraminiques, neuroleptiques phenothiaziniques, antispasmodiques, certains antihistaminiques H1...) chez un patient traite par anticholinesterasique. Outre la possible diminution de l'effet therapeutique de ce dernier, l'interruption brutale du traitement atropinique expose au risque de devoiler alors les effets muscariniques du parasympathomimetique avec symptomatologie de type << crise cholinergique >>, pouvant se manifester notamment par des convulsions.	Voir aussi : bradycardisants					Il convient de prendre en compte le risque lie a l'association d'un medicament a action atropinique (imipraminiques, neuroleptiques phenothiaziniques, antispasmodiques, certains antihistaminiques H1...) chez un patient traite par anticholinesterasique. Outre la possible diminution de l'effet therapeutique de ce dernier, l'interruption brutale du traitement atropinique expose au risque de devoiler alors les effets muscariniques du parasympathomimetique avec symptomatologie de type << crise cholinergique >>, pouvant se manifester notamment par des convulsions.
ANTICHOLINESTERASIQUES	PILOCARPINE	A prendre en compte Risque d'addition des effets indesirables cholinergiques, 	Voir aussi : bradycardisants	Risque d'addition des effets indesirables cholinergiques, notamment digestifs.				
ANTICHOLINESTERASIQUES	SUXAMETHONIUM	A prendre en compte Risque d'allongement du bloc moteur, majore en cas de deficit 	Voir aussi : bradycardisants	Risque d'allongement du bloc moteur, majore en cas de deficit partiel en pseudocholinesterase.				
ANTICOAGULANTS ORAUX	ANTICOAGULANTS ORAUX	A prendre en compte Tenir compte de la demi-vie de l'anticoagulant oral et observer, le cas echeant, un delai de carence avant le debut du traitement par l'autre. Penser a informer le patient. 	(acenocoumarol, apixaban, dabigatran, fluindione, phenindione, rivaroxaban, warfarine)	Risque de majoration des evenements hemorragiques lors du relais d'un anticoagulant oral par un autre.				 Tenir compte de la demi-vie de l'anticoagulant oral et observer, le cas echeant, un delai de carence avant le debut du traitement par l'autre. Penser a informer le patient. 
ANTICOAGULANTS ORAUX	ANTI-INFLAMMATOIRES NON STEROIDIENS	Association DECONSEILLEE Si l'association ne peut etre evitee, surveillance clinique etroite, voire biologique . 	(acenocoumarol, apixaban, dabigatran, fluindione, phenindione, rivaroxaban, warfarine)	Augmentation du risque hemorragique de l'anticoagulant oral (agression de la muqueuse gastroduodenale par les anti- inflammatoires non steroidiens).		 Si l'association ne peut etre evitee, surveillance clinique etroite, voire biologique . 		
ANTICOAGULANTS ORAUX	DEFIBROTIDE	Association DECONSEILLEE Risque hemorragique accru.	(acenocoumarol, apixaban, dabigatran, fluindione, phenindione, rivaroxaban, warfarine)	Risque hemorragique accru.				
ANTICOAGULANTS ORAUX	GLUCOCORTICOIDES (SAUF HYDROCORTISONE)	Precaution d'emploi Lorsque l'association est justifiee, renforcer la surveillance : le cas echeant, avec les antivitamines K, controle biologique au 8e jour, puis tous les 15 jours pendant la corticotherapie et apres son arret. 	(acenocoumarol, apixaban, dabigatran, fluindione, phenindione, rivaroxaban, warfarine)	Glucocorticoides (voies generale et rectale) : impact eventuel de la corticotherapie sur le metabolisme de l'antivitamine K et sur celui des facteurs de la coagulation. Risque hemorragique propre a la corticotherapie (muqueuse digestive, fragilite vasculaire) a fortes doses ou en traitement prolonge superieur a 10 jours.			 Lorsque l'association est justifiee, renforcer la surveillance : le cas echeant, avec les antivitamines K, controle biologique au 8e jour, puis tous les 15 jours pendant la corticotherapie et apres son arret. 	
ANTICOAGULANTS ORAUX	HEPARINES DE BAS POIDS MOLECULAIRE ET APPARENTES (DOSES CURATIVES ET/OU SUJET AGE)	Precaution d'emploi Si l'association ne peut etre evitee, renforcer la surveillance clinique et, le cas echeant, biologique. 	(acenocoumarol, apixaban, dabigatran, fluindione, phenindione, rivaroxaban, warfarine)	Augmentation du risque hemorragique.			 Si l'association ne peut etre evitee, renforcer la surveillance clinique et, le cas echeant, biologique. 	
ANTICOAGULANTS ORAUX	INHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SEROTONINE	Precaution d'emploi Surveillance clinique et, le cas echeant, controle plus frequent de l'INR. Adaptation eventuelle de la posologie de l'anticoagulant oral pendant la duree de l'association et a son arret. 	(acenocoumarol, apixaban, dabigatran, fluindione, phenindione, rivaroxaban, warfarine)	Augmentation du risque hemorragique.			 Surveillance clinique et, le cas echeant, controle plus frequent de l'INR. Adaptation eventuelle de la posologie de l'anticoagulant oral pendant la duree de l'association et a son arret. 	
